Anzahl Random;Number of Records;Geschlecht (group);Befragungsjahr;Schultyp;Alter;Geschlecht;GefallenSchule;AendernSchule;Lieblingsfach;Berufswunsch;SorgenSchule;SorgenAusbildung;SorgenFamilie;SorgenBeziehung;SorgenFinanzen;SorgenGesundheit;Wohnortwunsch
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Sport;Keine Angabe;Nein;Ja;Nein;Eher stark;Ja;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Sehr gut;anderes;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Kanton Zürich
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;schöneres Schulhaus;Englisch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Keine Angabe
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Sehr gut;Lehrer erneuern/ wechseln;Deutsch;Keine Angabe;Nein;Ja;Nein;Überhaupt nicht;Nein;Ja;Region Basel
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Pausenplatz;Englisch;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Nein;Ja;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher nicht gut;längere Pausen;Mathematik;Verkehr, Logistik;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Kanada
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;nichts;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Italien
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Französisch;Keine Angabe;Nein;Nein;Nein;Keine Angabe;Nein;Nein;New York
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;nichts;Deutsch;Natur;Ja;Ja;Nein;Eher stark;Nein;Nein;Region Basel
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Eher gut;weniger Tests/besser verteilt;Sport;Keine Angabe;Ja;Ja;Nein;Eher nicht;Nein;Nein;Istanbul
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Eher gut;Mensa;Mathematik;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Mathematik;Verkehr, Logistik;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Italien
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Eher gut;Klassenklima/ Umgang in Klasse;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Heimat(land)
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Eher gut;farbigere Schule;Mathematik;Keine Angabe;Ja;Ja;Ja;Überhaupt nicht;Nein;Nein;Italien
1;1;Männlich;2009;Weiterbildungsschule;Keine Angabe;Männlich;Eher gut;nichts;Mathematik;Schönheit, Sport;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Kanton Tessin
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;nichts;Deutsch;Keine Angabe;Ja;Ja;Ja;Überhaupt nicht;Ja;Ja;Kosovo
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;Organisation/ System verbessern;Ein anderes Fach;Keine Angabe;Ja;Ja;Nein;Eher stark;Nein;Nein;Region Basel
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher nicht gut;Unterrichtsart (mehr praktischer Unterricht);Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Sehr stark;Ja;Nein;Finnland
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Japan
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Sehr gut;Mensa;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Los Angeles
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Sehr gut;Rauchproblem;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Ja;Keine Angabe
1;1;Männlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Männlich;Sehr gut;weniger Tests/besser verteilt;Sport;Keine Angabe;Nein;Ja;Ja;Eher nicht;Nein;Ja;Region Basel
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Eher gut;Mensa;Sport;Metall, Maschinen;Ja;Nein;Nein;Eher stark;Nein;Nein;Brasilien
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Sehr gut;weniger Tests/besser verteilt;Sport;Keine Angabe;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Eher gut;Lehrer erneuern/ wechseln;Ein anderes Fach;Keine Angabe;Ja;Ja;Nein;Überhaupt nicht;Nein;Nein;Brasilien
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Hausaufgaben;Deutsch;Keine Angabe;Ja;Ja;Ja;Sehr stark;Nein;Ja;Miami
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Sport;Schönheit, Sport;Ja;Ja;Nein;Keine Angabe;Nein;Nein;Karibik
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Französisch;Gesundheit;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;Amerika
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Sport;Gesundheit;Ja;Ja;Nein;Überhaupt nicht;Nein;Nein;Amerika
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Sehr gut;längere Pausen;Deutsch;Elektrotechnik;Nein;Ja;Nein;Sehr stark;Nein;Nein;Amerika
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Hausaufgaben;Sport;Keine Angabe;Nein;Ja;Nein;Eher nicht;Nein;Nein;New York
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Lehrer erneuern/ wechseln;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Nein;Nein;Keine Angabe
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Nein;Ja;Eher stark;Ja;Ja;Jamaika
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;Hitzefrei;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Amerika
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Lehrer erneuern/ wechseln;Ein anderes Fach;Bau;Nein;Nein;Nein;Eher nicht;Nein;Nein;New York
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Ja;Ja;Ja;Eher nicht;Ja;Ja;anderes
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;gewisse Schulfächer;Deutsch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Englisch;Keine Angabe;Ja;Ja;Nein;Sehr stark;Nein;Nein;London
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;längere Pausen;Mathematik;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;am Meer/ auf einer Insel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher nicht gut;farbigere Schule;Ein anderes Fach;Keine Angabe;Ja;Ja;Nein;Überhaupt nicht;Nein;Nein;New York
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher nicht gut;nichts;Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Ja;Ja;Überhaupt nicht;Ja;Ja;Kalifornien
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher nicht gut;nichts;Ein anderes Fach;Verkehr, Logistik;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Sport;Natur;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher nicht gut;weniger Schule;Ein anderes Fach;Verkehr, Logistik;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;weniger Hausaufgaben;Englisch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;anderes
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;Mensa;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Schweiz
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;mehr Zusatzangebote;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Venedig
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Englisch;Schönheit, Sport;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;Toronto
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Sehr gut;Lehrer erneuern/ wechseln;Englisch;Keine Angabe;Nein;Nein;Nein;Eher stark;Nein;Nein;London
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;keine Angabe;Englisch;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;anderes
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;keine Angabe;Englisch;Keine Angabe;Nein;Ja;Nein;Eher nicht;Nein;Nein;Berlin
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Rauchproblem;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Australien
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Ein anderes Fach;Keine Angabe;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;New York
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;kein Französisch mehr;Englisch;Keine Angabe;Nein;Ja;Nein;Eher nicht;Nein;Nein;Keine Angabe
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Ja;Überhaupt nicht;Nein;Nein;Irland
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Australien
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;mehr Sport;Sport;anderes;Nein;Nein;Ja;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Gewalt/ Streit verhindern;Mathematik;Keine Angabe;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Ja;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;> 18 Jahre;Männlich;Eher gut;kein Französisch mehr;Sport;Gesundheit;Nein;Ja;Nein;Eher stark;Nein;Nein;Kanton Tessin
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Amerika
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Ja;Nein;Sehr stark;Ja;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Sport;Keine Angabe;Nein;Nein;Nein;Sehr stark;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;Hitzefrei;Englisch;Keine Angabe;Nein;Nein;Nein;Sehr stark;Nein;Nein;Keine Angabe
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher gut;weniger Tests/besser verteilt;Englisch;Keine Angabe;Nein;Nein;Ja;Eher stark;Nein;Nein;Cabo Verde
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;WCs;Mathematik;Schönheit, Sport;Nein;Nein;Nein;Eher stark;Nein;Nein;Kanton Bern
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;alles;Mathematik;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;anderes
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;WCs;Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Ja;Nein;Neuseeland
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Pausenplatz;Deutsch;Keine Angabe;Nein;Ja;Nein;Eher stark;Nein;Nein;am Meer/ auf einer Insel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Sehr gut;keine Angabe;Mathematik;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Ferien (mehr und länger) (Weihnachtsferien);Sport;Wirtschaft, Verwaltung;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Kanton Wallis
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Sehr gut;keine Angabe;Mathematik;Schönheit, Sport;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Toronto
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Sehr gut;weniger Schule;Englisch;anderes;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;mehr Sport;Mathematik;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Ja;Ja;Kurdistan
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Mensa;Englisch;Keine Angabe;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Bulgarien
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Lehrer erneuern/ wechseln;Englisch;Keine Angabe;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Los Angeles
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;strenge Regeln;Ein anderes Fach;Keine Angabe;Nein;Ja;Ja;Überhaupt nicht;Nein;Ja;Italien
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;längere Pausen;Englisch;Gesundheit;Nein;Ja;Ja;Eher nicht;Nein;Nein;Kanada
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Deutschland
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;farbigere Schule;Sport;Textilien;Ja;Nein;Ja;Überhaupt nicht;Nein;Ja;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;WCs;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Keine Angabe
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;keine Angabe;Sport;Keine Angabe;Nein;Nein;Nein;Sehr stark;Nein;Nein;Griechenland
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Sehr gut;Mensa;Französisch;Keine Angabe;Nein;Nein;Ja;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher nicht gut;anderes;Musik;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Hawaii
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;anderes;Sport;Metall, Maschinen;Ja;Ja;Nein;Keine Angabe;Nein;Ja;Istanbul
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;längere Pausen;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;New York
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;Mensa;Sport;Keine Angabe;Nein;Nein;Nein;Eher stark;Nein;Nein;Region Basel
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;gewisse Schulfächer;Sport;Kultur;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;Pausenplatz;Sport;Keine Angabe;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Marokko
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;weniger Schule;Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Nein;Ja;Asien
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Türkei
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Amerika
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Sport;Keine Angabe;Ja;Ja;Nein;Überhaupt nicht;Nein;Ja;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Mensa;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Bahmas
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Klassenklima/ Umgang in Klasse;Sport;Wirtschaft, Verwaltung;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;farbigere Schule;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;nicht so streng;Sport;Keine Angabe;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Amerika
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Sport;anderes;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Chicago
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Deutsch;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Amerika
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Sehr gut;weniger Tests/besser verteilt;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;farbigere Schule;Ein anderes Fach;Keine Angabe;Ja;Nein;Nein;Überhaupt nicht;Nein;Nein;Kanton Bern
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Hitzefrei;Mathematik;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;weiss nicht
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher nicht gut;keine Angabe;Sport;Holz, Innenausbau;Ja;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Orientierungsschule;11 bis 14 Jahre;Männlich;Eher gut;Klassenklima/ Umgang in Klasse;Sport;Keine Angabe;Ja;Ja;Ja;Überhaupt nicht;Ja;Ja;Argentinien
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;schöneres Schulhaus;Ein anderes Fach;Schönheit, Sport;Ja;Ja;Nein;Eher nicht;Ja;Ja;Region Basel
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;keine Angabe;Ein anderes Fach;Chemie, Physik;Ja;Nein;Nein;Sehr stark;Nein;Nein;Region Basel
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Sehr gut;anderes;Sport;Keine Angabe;Nein;Nein;Ja;Überhaupt nicht;Nein;Ja;Amerika
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Eher gut;anderes;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Spanien
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Deutsch;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Italien
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;anderes;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Miami
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;keine Angabe;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Australien
1;1;Männlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Männlich;Keine Angabe;keine Angabe;Keine Angabe;Nahrung;Nein;Nein;Nein;Keine Angabe;Nein;Nein;Region Basel
